"d [mm]","dist [mm]","dw [mm]","Freq [GHz]","h [mm]","h_s [mm]","l [mm]","l_inset [mm]","l_s [mm]","ls [mm]","Phi [deg]","w [mm]","w_inset [mm]","w_s [mm]","Theta [deg]","db(GainPhi) []"
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-180,-8.73258832740087
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-178,-8.70883903563669
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-176,-8.79708855616468
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-174,-9.01698107906834
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-172,-9.39392496945165
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-170,-9.95504521716822
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-168,-10.7202986519484
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-166,-11.6816059788272
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-164,-12.7552169420184
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-162,-13.7019665372288
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-160,-14.1231571055517
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-158,-13.7759366533452
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-156,-12.8979771766256
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-154,-11.9286753816651
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-152,-11.1639233183854
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-150,-10.7392009631961
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-148,-10.7089437542307
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-146,-11.0939489248853
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-144,-11.894829514168
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-142,-13.0808811112542
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-140,-14.5527460155267
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-138,-16.0864183204081
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-136,-17.3454746317326
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-134,-18.1057302475766
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-132,-18.4690902510741
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-130,-18.6710401049731
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-128,-18.8101828380161
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-126,-18.8449960301851
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-124,-18.7461411613815
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-122,-18.5984371593664
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-120,-18.5525372848228
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-118,-18.7153972155375
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-116,-19.0674584876898
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-114,-19.390585452916
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-112,-19.2706521277588
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-110,-18.415188742422
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-108,-17.0123127193018
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-106,-15.4723370463105
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-104,-14.0641771411843
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-102,-12.8901043608193
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-100,-11.9678313992386
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-98,-11.2814784731253
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-96,-10.8001199563887
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-94,-10.4797793359403
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-92,-10.2586058116625
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-90,-10.053865483962
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-88,-9.77278077454719
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-86,-9.34528644633738
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-84,-8.76219091565498
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,-82,-8.08138680535356
