"d [mm]","dw [mm]","Freq [GHz]","Phi [deg]","w [mm]","w_inset [mm]","Theta [deg]","db(RealizedGainPhi) []"
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-180,-9.78359455830547
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-178,-9.87650050658883
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-176,-10.0883618988992
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-174,-10.4199510811211
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-172,-10.8761740188373
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-170,-11.464001050396
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-168,-12.1864751949712
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-166,-13.0281793358133
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-164,-13.925426507029
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-162,-14.7232392279512
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-160,-15.1719741613357
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-158,-15.0751602287856
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-156,-14.5031520535649
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-154,-13.7406578454328
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-152,-13.057809818397
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-150,-12.6153631178923
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-148,-12.4888427148439
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-146,-12.7059333358008
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-144,-13.2650208907941
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-142,-14.1364501183778
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-140,-15.252026158098
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-138,-16.4929296688229
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-136,-17.7017707211262
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-134,-18.7471965967447
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-132,-19.6029455852969
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-130,-20.3389380071136
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-128,-21.0265447642836
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-126,-21.670881807
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-124,-22.224162825621
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-122,-22.6435118522372
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-120,-22.9125755774392
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-118,-22.9828986100208
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-116,-22.7110520805127
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-114,-21.9405264596583
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-112,-20.7048168939382
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-110,-19.244004482928
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-108,-17.8104712511567
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-106,-16.5543097276791
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-104,-15.5329183407421
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-102,-14.7477531860236
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-100,-14.1672920160082
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-98,-13.7364184888057
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-96,-13.3807214270128
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-94,-13.0147752734088
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-92,-12.561257843738
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-90,-11.9775992511153
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-88,-11.2726599157013
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-86,-10.4984418243286
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-84,-9.724260477543
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-82,-9.01283231300436
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-80,-8.40751830224201
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-78,-7.92754647212555
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-76,-7.56542269232211
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-74,-7.28446182627384
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-72,-7.02034656719545
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-70,-6.69597054895534
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-68,-6.25447133228981
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-66,-5.69353462449719
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-64,-5.06943487054266
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-62,-4.46611625574406
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-60,-3.95847250448036
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-58,-3.59192918863587
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-56,-3.3767591123765
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-54,-3.28811567494336
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-52,-3.26865877743756
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-50,-3.23868595095557
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-48,-3.12077699887303
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-46,-2.87358755146421
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-44,-2.51039053741395
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-42,-2.08466267860984
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-40,-1.65746770495624
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-38,-1.27288362109788
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-36,-0.95023179562988
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-34,-0.687391878694939
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-32,-0.468488214867631
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-30,-0.272538971154216
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-28,-0.0812696621157116
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-26,0.115677684643262
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-24,0.319504589160771
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-22,0.52474127357539
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-20,0.72349483655129
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-18,0.909118568047264
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-16,1.07794857799045
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-14,1.22906254701276
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-12,1.36284828439206
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-10,1.47939515635129
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-8,1.5775069600596
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-6,1.65467774052105
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-4,1.70788322869952
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,-2,1.73472135930236
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,0,1.73437813373364
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,2,1.70804587416035
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,4,1.658658825702
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,6,1.59004406486989
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,8,1.50577067235544
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,10,1.40808758374315
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,12,1.29733446533477
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,14,1.17207321876044
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,16,1.0299553055748
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,18,0.869088101050798
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,20,0.689459123204846
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,22,0.49385456345724
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,24,0.287712102356935
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,26,0.0775855731245313
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,28,-0.131519691996779
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,30,-0.33888331001589
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,32,-0.549337844190865
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,34,-0.771953817817006
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,36,-1.0162798078443
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,38,-1.28751255496669
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,40,-1.58250748317593
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,42,-1.88847177320095
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,44,-2.18577536237416
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,46,-2.45513221504587
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,48,-2.68685406810229
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,50,-2.887247604405
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,52,-3.07780057226007
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,54,-3.2873823356823
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,56,-3.54196504644342
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,58,-3.85653364702857
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,60,-4.23136562707913
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,62,-4.65298274263579
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,64,-5.09947639802418
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,66,-5.54909979510016
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,68,-5.98911231996515
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,70,-6.42045882058826
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,72,-6.85559565756646
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,74,-7.31105183051599
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,76,-7.79911576536791
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,78,-8.32228214244449
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,80,-8.87171744260086
0.31872271467571,0.847852902077836,27,0,3.08865827750754,0.344836594189614,82,-9.4293380613845
