"d [mm]","dist [mm]","dw [mm]","h [mm]","h_s [mm]","l [mm]","l_inset [mm]","l_s [mm]","ls [mm]","w [mm]","w_inset [mm]","w_s [mm]","Freq [GHz]","db(S11) []"
0.31872271467571,-40,0.847852902077836,0.3,20,2.42444930665735,1.43026031668154,20,10,3.13475998969076,0.344836594189614,20,27,-5.95947125150624
0.31872271467571,-40,0.847852902077836,0.3,20,2.42444930665735,1.43026031668154,20,10,3.13475998969076,0.344836594189614,20,27.1,-6.54648100695047
0.31872271467571,-40,0.847852902077836,0.3,20,2.42444930665735,1.43026031668154,20,10,3.13475998969076,0.344836594189614,20,27.2,-7.21124209642559
0.31872271467571,-40,0.847852902077836,0.3,20,2.42444930665735,1.43026031668154,20,10,3.13475998969076,0.344836594189614,20,27.3,-7.9623574436161
0.31872271467571,-40,0.847852902077836,0.3,20,2.42444930665735,1.43026031668154,20,10,3.13475998969076,0.344836594189614,20,27.4,-8.80597445184801
0.31872271467571,-40,0.847852902077836,0.3,20,2.42444930665735,1.43026031668154,20,10,3.13475998969076,0.344836594189614,20,27.5,-9.74118311386545
0.31872271467571,-40,0.847852902077836,0.3,20,2.42444930665735,1.43026031668154,20,10,3.13475998969076,0.344836594189614,20,27.6,-10.7503524497465
0.31872271467571,-40,0.847852902077836,0.3,20,2.42444930665735,1.43026031668154,20,10,3.13475998969076,0.344836594189614,20,27.7,-11.7807918837496
0.31872271467571,-40,0.847852902077836,0.3,20,2.42444930665735,1.43026031668154,20,10,3.13475998969076,0.344836594189614,20,27.8,-12.7178320021126
0.31872271467571,-40,0.847852902077836,0.3,20,2.42444930665735,1.43026031668154,20,10,3.13475998969076,0.344836594189614,20,27.9,-13.3717168656031
0.31872271467571,-40,0.847852902077836,0.3,20,2.42444930665735,1.43026031668154,20,10,3.13475998969076,0.344836594189614,20,28,-13.5400242387438
0.31872271467571,-40,0.847852902077836,0.3,20,2.42444930665735,1.43026031668154,20,10,3.13475998969076,0.344836594189614,20,28.1,-13.1569782851578
0.31872271467571,-40,0.847852902077836,0.3,20,2.42444930665735,1.43026031668154,20,10,3.13475998969076,0.344836594189614,20,28.2,-12.35662352995
0.31872271467571,-40,0.847852902077836,0.3,20,2.42444930665735,1.43026031668154,20,10,3.13475998969076,0.344836594189614,20,28.3,-11.3515613927555
0.31872271467571,-40,0.847852902077836,0.3,20,2.42444930665735,1.43026031668154,20,10,3.13475998969076,0.344836594189614,20,28.4,-10.3055610010874
0.31872271467571,-40,0.847852902077836,0.3,20,2.42444930665735,1.43026031668154,20,10,3.13475998969076,0.344836594189614,20,28.5,-9.30726543947426
0.31872271467571,-40,0.847852902077836,0.3,20,2.42444930665735,1.43026031668154,20,10,3.13475998969076,0.344836594189614,20,28.6,-8.3936848013533
0.31872271467571,-40,0.847852902077836,0.3,20,2.42444930665735,1.43026031668154,20,10,3.13475998969076,0.344836594189614,20,28.7,-7.57473490200876
0.31872271467571,-40,0.847852902077836,0.3,20,2.42444930665735,1.43026031668154,20,10,3.13475998969076,0.344836594189614,20,28.8,-6.84795783684758
0.31872271467571,-40,0.847852902077836,0.3,20,2.42444930665735,1.43026031668154,20,10,3.13475998969076,0.344836594189614,20,28.9,-6.20592552692023
0.31872271467571,-40,0.847852902077836,0.3,20,2.42444930665735,1.43026031668154,20,10,3.13475998969076,0.344836594189614,20,29,-5.63969171401273
