"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []"
27,0,-180,4.14902451388851
27,0,-178,2.25439224338613
27,0,-176,-4.60683774572428
27,0,-174,-17.5950409184566
27,0,-172,-17.7342215360394
27,0,-170,-9.45874444031548
27,0,-168,-3.17563109870041
27,0,-166,-3.15894440047028
27,0,-164,-10.1211464410224
27,0,-162,-14.4548201132022
27,0,-160,-5.57952976736408
27,0,-158,-4.13248620166654
27,0,-156,-4.53492997930839
27,0,-154,-4.73304937213374
27,0,-152,-4.05163466358933
27,0,-150,-3.16705403311452
27,0,-148,-3.05782655112645
27,0,-146,-4.08707603231932
27,0,-144,-5.95047574892118
27,0,-142,-7.90252799076509
27,0,-140,-9.69477873413515
27,0,-138,-11.8233404493087
27,0,-136,-13.4490631543478
27,0,-134,-12.7306087003989
27,0,-132,-11.4047505978124
27,0,-130,-10.8993830435431
27,0,-128,-11.28997687684
27,0,-126,-12.3053694468973
27,0,-124,-13.36703791507
27,0,-122,-14.1949771879345
27,0,-120,-15.2393491132203
27,0,-118,-16.0614301245851
27,0,-116,-15.2505703005643
27,0,-114,-13.9192003333321
27,0,-112,-13.6121981927949
27,0,-110,-14.7939422816743
27,0,-108,-17.9165237391851
27,0,-106,-25.0267767784033
27,0,-104,-30.9873435808882
27,0,-102,-20.455288087465
27,0,-100,-16.6778214784504
27,0,-98,-15.2247178712733
27,0,-96,-15.1676911542244
27,0,-94,-16.0610866910798
27,0,-92,-17.5423019597384
27,0,-90,-19.6272821789099
27,0,-88,-23.805569217799
27,0,-86,-38.879617863941
27,0,-84,-20.739481797053
27,0,-82,-13.9545648979036
27,0,-80,-10.2353355384957
27,0,-78,-8.24146459001255
27,0,-76,-7.61924577986376
27,0,-74,-8.18971362233568
27,0,-72,-9.20776021351676
27,0,-70,-8.53238648600463
27,0,-68,-6.2359277762679
27,0,-66,-4.54684526962486
27,0,-64,-4.31780083086238
27,0,-62,-5.88664294382841
27,0,-60,-9.42737037696511
27,0,-58,-11.4062002830834
27,0,-56,-8.75974702555548
27,0,-54,-7.73247249769682
27,0,-52,-9.54703776067916
27,0,-50,-14.7922723608405
27,0,-48,-24.3419707196694
27,0,-46,-19.8363684616157
27,0,-44,-10.8322790322904
27,0,-42,-5.81086878482497
27,0,-40,-3.87769209944798
27,0,-38,-4.01942528564367
27,0,-36,-3.14415652392894
27,0,-34,-0.256578231515777
27,0,-32,1.45656862214341
27,0,-30,1.06897486994988
27,0,-28,-2.02721126290711
27,0,-26,-13.1765106038366
27,0,-24,-5.72882382820915
27,0,-22,0.897879827122041
27,0,-20,2.15600339168443
27,0,-18,2.17363496178661
27,0,-16,5.56749106244045
27,0,-14,7.82066504326202
27,0,-12,6.39901315964662
27,0,-10,-1.23520754293016
27,0,-8,-6.60848346649135
27,0,-6,-4.86208693543704
27,0,-4,-0.867396254077481
27,0,-2,7.99812975443688
27,0,0,10.3204035127851
27,0,2,8.13670634203108
27,0,4,-0.381929920291136
27,0,6,-6.35486270751723
27,0,8,-7.97977466671924
27,0,10,-0.849536876582672
27,0,12,6.41558402367293
27,0,14,7.72695703615686
27,0,16,5.43249985115169
27,0,18,2.1839779725388
27,0,20,2.16080888617973
27,0,22,0.731309929512604
27,0,24,-6.00118388003068
27,0,26,-13.9366655030155
27,0,28,-2.832586374099
27,0,30,0.229306299261354
27,0,32,0.578218026204393
27,0,34,-1.18750616207578
27,0,36,-3.81599136757684
27,0,38,-4.00111831586887
27,0,40,-3.65629053257156
27,0,42,-5.43637800458377
27,0,44,-9.9196875884284
27,0,46,-17.4815406679825
27,0,48,-21.2326964398871
27,0,50,-12.9038631440145
27,0,52,-8.36709298223553
27,0,54,-6.8691321942267
27,0,56,-7.92245053733378
27,0,58,-10.5069612353765
27,0,60,-9.38447083973232
27,0,62,-6.22438146911041
27,0,64,-4.76820413846417
