"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTheta) []"
27,90,72,1.77573990388545
27,90,74,1.55183812151929
27,90,76,0.61508568107659
27,90,78,-1.22115819061322
27,90,80,-3.80415603271523
27,90,82,-5.46553069021958
27,90,84,-4.45895825635777
27,90,86,-3.06337024803152
27,90,88,-2.75611762349923
27,90,90,-3.72402971257397
27,90,92,-5.79730901933389
27,90,94,-8.08346421302038
27,90,96,-8.88381768661354
27,90,98,-8.65715973025586
27,90,100,-8.88768929135551
27,90,102,-9.5636447563573
27,90,104,-9.78837463120426
27,90,106,-9.46829229399979
27,90,108,-9.54429697036005
27,90,110,-10.7128858351875
27,90,112,-13.4096712745027
27,90,114,-17.0232503015197
27,90,116,-14.997337304778
27,90,118,-11.1775856509328
27,90,120,-9.73955847619257
27,90,122,-10.9272711618921
27,90,124,-14.5771113019855
27,90,126,-14.6940410548615
27,90,128,-12.2505803597931
27,90,130,-13.2448294158665
27,90,132,-14.8511531044204
27,90,134,-10.6559480691386
27,90,136,-8.97197177197526
27,90,138,-12.4417570342231
27,90,140,-16.832485264436
27,90,142,-7.26208757430803
27,90,144,-4.08845423548296
27,90,146,-4.32060636266081
27,90,148,-6.70021372388972
27,90,150,-7.8344283499284
27,90,152,-5.91291009846126
27,90,154,-4.24736488837794
27,90,156,-4.08007501904506
27,90,158,-6.23498956419508
27,90,160,-10.1042629053811
27,90,162,-8.24041442007968
27,90,164,-6.15937127961314
27,90,166,-6.79508430024593
27,90,168,-8.34603778403737
27,90,170,-7.43203575176486
27,90,172,-5.66931954928708
27,90,174,-4.58980415661486
27,90,176,-1.01266412832873
27,90,178,2.77012988039982
27,90,180,4.14902451388851
28,90,-180,2.16834696548128
28,90,-178,1.10948161834451
28,90,-176,-3.02294246841773
28,90,-174,-9.2832425069266
28,90,-172,-9.65803974165988
28,90,-170,-7.10374062784456
28,90,-168,-5.6664170019589
28,90,-166,-5.71748921064221
28,90,-164,-6.16846828777014
28,90,-162,-4.92564678184766
28,90,-160,-3.02973734297381
28,90,-158,-2.39082747142974
28,90,-156,-3.11360174811533
28,90,-154,-3.80893394662934
28,90,-152,-3.13817564087744
28,90,-150,-1.94865235772187
28,90,-148,-1.28498314698034
28,90,-146,-1.71245255126505
28,90,-144,-3.40096551807719
28,90,-142,-5.6497758111219
28,90,-140,-7.35696276312687
28,90,-138,-9.96595326982993
28,90,-136,-17.0234350373209
28,90,-134,-15.4464451882966
28,90,-132,-10.0033081115536
28,90,-130,-8.97759914485149
28,90,-128,-10.4061250348463
28,90,-126,-13.9973355008753
28,90,-124,-24.0601122425578
28,90,-122,-15.5842122593496
28,90,-120,-8.7916584910096
28,90,-118,-6.32397380266327
28,90,-116,-6.43752072126965
28,90,-114,-8.60006975823334
28,90,-112,-11.0590018428404
28,90,-110,-10.2428180007443
28,90,-108,-8.95177501457793
28,90,-106,-9.64958361300544
28,90,-104,-12.9506341249831
28,90,-102,-14.0003365492526
28,90,-100,-8.36179296420474
28,90,-98,-4.76474235950778
28,90,-96,-3.29722204091713
28,90,-94,-3.5846428012195
28,90,-92,-5.26960295793278
28,90,-90,-6.23754768533476
28,90,-88,-4.21178148628001
28,90,-86,-2.24759063433113
28,90,-84,-1.8800556003832
28,90,-82,-2.76008472246917
28,90,-80,-2.40452807179873
28,90,-78,0.290829768488816
28,90,-76,2.50467069851836
28,90,-74,3.28990915123377
28,90,-72,2.88735293294596
28,90,-70,2.27751859466793
28,90,-68,2.58923503880683
28,90,-66,3.22168968370463
28,90,-64,3.16636908694684
28,90,-62,2.38343929543353
28,90,-60,1.24902746554151
28,90,-58,-0.484745552709057
28,90,-56,-3.32739742284012
28,90,-54,-4.54490628228787
28,90,-52,-3.48988630892626
28,90,-50,-6.05976498133865
28,90,-48,-9.77953128278454
28,90,-46,-0.0697382509838822
28,90,-44,3.75035027899918
28,90,-42,4.24007627749192
28,90,-40,2.99749683141243
28,90,-38,2.85504889745985
28,90,-36,3.55672671878979
28,90,-34,2.46757118869272
28,90,-32,-0.406093825946947
28,90,-30,-1.2602179901675
28,90,-28,-1.22888717198895
