"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []"
28,0,-48,-19.0481420341252
28,0,-46,-10.675203509688
28,0,-44,-4.01821584091283
28,0,-42,-2.0491057535741
28,0,-40,-2.65380684374814
28,0,-38,-3.03359565914061
28,0,-36,-1.13717165172952
28,0,-34,-0.0972770810902309
28,0,-32,-1.14601382497628
28,0,-30,-3.71791563139974
28,0,-28,-6.05936772659428
28,0,-26,-8.08903211274839
28,0,-24,-6.48695942975877
28,0,-22,-2.94132259962549
28,0,-20,-3.52998481183262
28,0,-18,-2.91509829878429
28,0,-16,4.49812147374186
28,0,-14,7.76606051113949
28,0,-12,7.25725080279894
28,0,-10,4.29874063630657
28,0,-8,4.17087321543008
28,0,-6,1.79190831138225
28,0,-4,-7.23341175137182
28,0,-2,7.91299209392496
28,0,0,10.643668426137
28,0,2,7.81321588078552
28,0,4,-8.13805270274565
28,0,6,1.98328164144341
28,0,8,4.12951372385474
28,0,10,4.14101364965086
28,0,12,7.22233248875024
28,0,14,7.76045424823232
28,0,16,4.4933380653405
28,0,18,-2.77186780160645
28,0,20,-3.39746562701733
28,0,22,-3.02182782511553
28,0,24,-6.76559287522887
28,0,26,-8.12006368355398
28,0,28,-5.94146195185685
28,0,30,-3.87894701241301
28,0,32,-1.433490154839
28,0,34,-0.267101548192535
28,0,36,-1.0962445542178
28,0,38,-2.87138144245752
28,0,40,-2.63038874879912
28,0,42,-2.00330978282432
28,0,44,-3.82702322470297
28,0,46,-10.2131426215657
28,0,48,-19.616948366879
28,0,50,-10.0847024875442
28,0,52,-8.21463250069452
28,0,54,-7.99692715284617
28,0,56,-7.43951036107411
28,0,58,-6.48599892865897
28,0,60,-4.8646451238852
28,0,62,-3.06317006335288
28,0,64,-2.22448282178844
28,0,66,-2.85591256292422
28,0,68,-4.7439972928337
28,0,70,-6.16257264856639
28,0,72,-5.54975318534794
28,0,74,-4.99139421312468
28,0,76,-5.88830880618787
28,0,78,-8.60561334346175
28,0,80,-13.5630015534621
28,0,82,-21.0674047093994
28,0,84,-23.1364131283505
28,0,86,-20.7079147394025
28,0,88,-18.8246305047894
28,0,90,-16.8756676522999
28,0,92,-15.6227230584957
