"d []","dw [mm]","Freq [GHz]","l [mm]","l_inset [mm]","Phi [deg]","w [mm]","w_inset [mm]","Theta [deg]","dB(RealizedGainPhi) []"
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-180,-15.2490542832917
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-178,-15.2489993329556
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-176,-15.2972939106788
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-174,-15.3947432490688
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-172,-15.5419244044716
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-170,-15.7389229088932
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-168,-15.9850100408445
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-166,-16.2782134566738
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-164,-16.6147253630638
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-162,-16.9881005429153
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-160,-17.3882433300443
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-158,-17.8003056835616
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-156,-18.2038601007395
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-154,-18.5730608641263
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-152,-18.8787712413395
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-150,-19.0933266353835
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-148,-19.1972330437328
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-146,-19.185121127053
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-144,-19.0675960830399
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-142,-18.8677143021433
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-140,-18.6141247364718
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-138,-18.3343188337694
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-136,-18.0502174220049
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-134,-17.7763699160306
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-132,-17.5199601061934
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-130,-17.2817175112774
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-128,-17.0571649949709
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-126,-16.837970807231
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-124,-16.6133724682567
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-122,-16.3716984531176
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-120,-16.1019661205901
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-118,-15.7954266840559
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-116,-15.4468243379203
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-114,-15.0551113379884
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-112,-14.6234580350893
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-110,-14.1585870743395
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-108,-13.6696486001173
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-106,-13.1669440872899
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-104,-12.6607736889687
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-102,-12.160570929622
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-100,-11.6743678658061
0.296113923912609,0.84660607829797,28,2.19244930665735,1.2584224433474,0,2.88371162727687,0.346213320460124,-98,-11.2085492419995
