"d [mm]","dw [mm]","w [mm]","w_inset [mm]","Freq [GHz]","db(S11) []"
0.31872271467571,0.847852902077836,3.13475998969076,0.344836594189614,27,-5.95947125150624
0.31872271467571,0.847852902077836,3.13475998969076,0.344836594189614,27.2,-7.21124209642546
0.31872271467571,0.847852902077836,3.13475998969076,0.344836594189614,27.4,-8.80597445184792
0.31872271467571,0.847852902077836,3.13475998969076,0.344836594189614,27.6,-10.7503524497466
0.31872271467571,0.847852902077836,3.13475998969076,0.344836594189614,27.8,-12.7178320021127
0.31872271467571,0.847852902077836,3.13475998969076,0.344836594189614,28,-13.5400242387435
0.31872271467571,0.847852902077836,3.13475998969076,0.344836594189614,28.2,-12.3566235299495
0.31872271467571,0.847852902077836,3.13475998969076,0.344836594189614,28.4,-10.3055610010872
0.31872271467571,0.847852902077836,3.13475998969076,0.344836594189614,28.6,-8.39368480135344
0.31872271467571,0.847852902077836,3.13475998969076,0.344836594189614,28.8,-6.84795783684779
0.31872271467571,0.847852902077836,3.13475998969076,0.344836594189614,29,-5.63969171401273
0.31872271467571,0.847852902077836,3.13475998969076,0.351622938864179,27,-5.90821662854158
0.31872271467571,0.847852902077836,3.13475998969076,0.351622938864179,27.2,-7.12032209005495
0.31872271467571,0.847852902077836,3.13475998969076,0.351622938864179,27.4,-8.6501310508606
0.31872271467571,0.847852902077836,3.13475998969076,0.351622938864179,27.6,-10.4919139756911
0.31872271467571,0.847852902077836,3.13475998969076,0.351622938864179,27.8,-12.3388237898715
0.31872271467571,0.847852902077836,3.13475998969076,0.351622938864179,28,-13.1737884706388
0.31872271467571,0.847852902077836,3.13475998969076,0.351622938864179,28.2,-12.1870323332653
0.31872271467571,0.847852902077836,3.13475998969076,0.351622938864179,28.4,-10.2871224840095
0.31872271467571,0.847852902077836,3.13475998969076,0.351622938864179,28.6,-8.44036615405334
0.31872271467571,0.847852902077836,3.13475998969076,0.351622938864179,28.8,-6.91706075531223
0.31872271467571,0.847852902077836,3.13475998969076,0.351622938864179,29,-5.71359489074921
0.324995141192639,0.847852902077836,3.13475998969076,0.344836594189614,27,-5.88146453387815
0.324995141192639,0.847852902077836,3.13475998969076,0.344836594189614,27.2,-7.11773549294815
0.324995141192639,0.847852902077836,3.13475998969076,0.344836594189614,27.4,-8.70328737330263
0.324995141192639,0.847852902077836,3.13475998969076,0.344836594189614,27.6,-10.661272493722
0.324995141192639,0.847852902077836,3.13475998969076,0.344836594189614,27.8,-12.7123741348621
0.324995141192639,0.847852902077836,3.13475998969076,0.344836594189614,28,-13.7032008672205
0.324995141192639,0.847852902077836,3.13475998969076,0.344836594189614,28.2,-12.5899178024127
0.324995141192639,0.847852902077836,3.13475998969076,0.344836594189614,28.4,-10.4921133834781
0.324995141192639,0.847852902077836,3.13475998969076,0.344836594189614,28.6,-8.52405852990516
