"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
28,0,30,-3.731077099476
28,0,32,-1.35088966301049
28,0,34,-0.234476658546635
28,0,36,-1.05833319228098
28,0,38,-2.7562122274336
28,0,40,-2.51956957372029
28,0,42,-1.96591054805536
28,0,44,-3.80605442337448
28,0,46,-9.95466678789986
28,0,48,-17.8974918298188
28,0,50,-10.0569283499605
28,0,52,-8.16014087027377
28,0,54,-7.78017153004261
28,0,56,-7.18701961883629
28,0,58,-6.30409370436563
28,0,60,-4.73657414920305
28,0,62,-2.95742823642343
28,0,64,-2.11763371551235
28,0,66,-2.70700885653083
28,0,68,-4.47433975216558
28,0,70,-5.77457530999315
28,0,72,-5.24855087757281
28,0,74,-4.77829747581847
28,0,76,-5.67345407840994
28,0,78,-8.26519905769745
28,0,80,-12.7488579030905
28,0,82,-18.2918890641675
28,0,84,-19.4098607200689
28,0,86,-17.8400668067119
28,0,88,-16.5416928781121
28,0,90,-15.4233257061232
28,0,92,-14.8305833392374
28,0,94,-15.0292394535559
28,0,96,-15.8125850258888
28,0,98,-16.2575934504928
28,0,100,-15.407338129273
28,0,102,-13.9795215789355
28,0,104,-13.1764358143645
28,0,106,-13.7027491892683
28,0,108,-16.390088858184
28,0,110,-24.2399071924587
28,0,112,-25.6775759032525
28,0,114,-17.1441133614096
28,0,116,-14.8975761956045
28,0,118,-15.9335770190123
28,0,120,-20.4747568456896
28,0,122,-21.6365310047399
28,0,124,-15.4552846898385
28,0,126,-11.970275701736
28,0,128,-10.0624561545302
28,0,130,-9.1227896097857
28,0,132,-9.30812636448029
28,0,134,-11.4745164021667
28,0,136,-15.9417137706848
28,0,138,-10.9882869454279
28,0,140,-5.47735489221723
28,0,142,-2.59731449820529
28,0,144,-1.28926631287628
28,0,146,-0.985566646317481
28,0,148,-1.42487091999158
28,0,150,-2.45844490299106
28,0,152,-3.78631742738989
28,0,154,-4.92157933744494
28,0,156,-5.23370414192931
28,0,158,-3.87258275797427
28,0,160,-2.38113391904566
28,0,162,-3.19904928126733
28,0,164,-5.71779068660686
28,0,166,-2.08102252245859
28,0,168,0.532408900542452
28,0,170,-0.833377331530408
28,0,172,-7.06912676681835
28,0,174,-15.3599624306717
28,0,176,-5.13206291868276
28,0,178,0.385203777973825
28,0,180,2.16962357895381
